Table 1,,,
Geographic Area,"Population, 2020","Population, 2021","Population, 2022"
"Otter Tail County, Minnesota","60,072","60,222","60,519"
"Laclede County, Missouri","36,044","36,135","36,313"
"Cameron County, Texas","421,445","423,124","425,208"
"Pickett County, Tennessee","5,002","5,082","5,107"
"Essex County, Vermont","5,918","5,965","5,994"
"New Castle County, Delaware","570,873","572,714","575,494"
"Pope County, Arkansas","63,403","63,756","64,065"
"Snohomish County, Washington","829,869","836,037","840,079"
"Lavaca County, Texas","20,348","20,490","20,589"
"Searcy County, Arkansas","7,842","7,880","7,918"
"Montgomery County, Kentucky","28,104","28,231","28,367"
"Campbell County, Kentucky","93,129","92,856","93,300"
"Foster County, North Dakota","3,388","3,362","3,378"
"Foard County, Texas","1,085","1,052","1,057"
"Berrien County, Georgia","18,148","18,128","18,214"
"Whitley County, Kentucky","36,695","36,699","36,873"
"Johnston County, Oklahoma","10,241","10,357","10,406"
"DeKalb County, Georgia","764,420","759,231","762,820"
"Rice County, Minnesota","67,086","67,375","67,693"
"Tuscaloosa County, Alabama","231,534","235,668","236,780"
"Pasquotank County, North Carolina","40,577","40,746","40,938"
"Crittenden County, Kentucky","9,002","8,939","8,981"
"Grand Traverse County, Michigan","95,411","96,013","96,464"
"Laurel County, Kentucky","62,728","62,592","62,885"
"Fergus County, Montana","11,469","11,609","11,663"
"Botetourt County, Virginia","33,637","33,977","34,135"
"Wicomico County, Maryland","103,556","104,181","104,664"
"Spencer County, Indiana","19,835","19,875","19,967"
"Edmonson County, Kentucky","12,153","12,213","12,269"
"Clay County, Missouri","254,112","255,860","257,033"
"Saline County, Nebraska","14,242","14,052","14,116"
"Brown County, Wisconsin","268,921","268,814","270,036"
"El Paso County, Colorado","732,342","737,228","740,567"
"Livingston County, Michigan","193,971","195,277","196,161"
"Albany County, Wyoming","37,110","37,860","38,031"
"District of Columbia, District of Columbia","670,868","668,791","671,803"
"Vernon County, Wisconsin","30,698","30,921","31,060"
"Meeker County, Minnesota","23,431","23,391","23,496"
"Colleton County, South Carolina","38,536","38,427","38,599"
"Morton County, North Dakota","33,313","33,560","33,710"
"Clermont County, Ohio","208,738","209,867","210,805"
"Schley County, Georgia","4,534","4,476","4,496"
"Pendleton County, Kentucky","14,652","14,611","14,676"
"Polk County, Tennessee","17,568","17,784","17,863"
"Campbell County, Tennessee","39,301","39,409","39,584"
"Union County, Mississippi","27,810","28,001","28,125"
"Okmulgee County, Oklahoma","36,686","36,827","36,990"
"Glynn County, Georgia","84,471","84,705","85,079"
"Cole County, Missouri","76,614","76,631","76,969"
"Pickens County, Alabama","18,922","18,615","18,697"
"Elko County, Nevada","53,670","53,811","54,046"
"Sublette County, Wyoming","8,738","8,725","8,763"
"Leon County, Florida","293,948","296,081","297,369"
"Geneva County, Alabama","26,696","26,667","26,783"
"Chattooga County, Georgia","24,922","24,828","24,936"
"Cascade County, Montana","84,402","84,498","84,864"
"Whitfield County, Georgia","102,776","102,688","103,132"
"Escambia County, Florida","322,551","323,480","324,878"
"Bath County, Kentucky","12,716","12,774","12,829"
"Stone County, Mississippi","18,332","18,589","18,669"
"Crawford County, Indiana","10,525","10,491","10,536"
"Outagamie County, Wisconsin","190,961","191,309","192,127"
"Henry County, Kentucky","15,697","15,704","15,771"
"Cumberland County, Maine","303,570","306,149","307,451"
"Yellow Medicine County, Minnesota","9,504","9,446","9,486"
"Allen County, Kansas","12,532","12,526","12,579"
"Osceola County, Michigan","22,906","23,176","23,274"
"Kearney County, Nebraska","6,681","6,662","6,690"
"Shelby County, Missouri","6,088","5,957","5,982"
"Hickory County, Missouri","8,301","8,594","8,630"
"Colonial Heights city, Virginia","18,187","18,218","18,294"
"York County, Pennsylvania","456,692","459,148","461,058"
"Caldwell County, Missouri","8,824","8,896","8,933"
"Otero County, New Mexico","67,873","68,538","68,823"
"Butler County, Kansas","67,390","67,958","68,240"
"Lancaster County, Nebraska","323,144","323,420","324,756"
"Polk County, Wisconsin","45,032","45,521","45,709"
"Childress County, Texas","6,662","6,781","6,809"
"Kern County, California","905,828","912,351","916,108"
"McKenzie County, North Dakota","14,776","13,851","13,908"
"Elk County, Kansas","2,474","2,431","2,441"
"Juneau County, Wisconsin","26,780","26,756","26,866"
"Coffee County, Georgia","43,052","42,997","43,172"
"Douglas County, Kansas","118,777","119,480","119,964"
"Ralls County, Missouri","10,357","10,378","10,420"
"Abbeville County, South Carolina","24,256","24,258","24,356"
"Morrow County, Ohio","34,973","35,197","35,339"
"Hampshire County, West Virginia","23,097","23,374","23,468"
"Clay County, Minnesota","65,332","65,665","65,929"
"Klickitat County, Washington","22,816","23,178","23,271"
"Henry County, Tennessee","32,144","32,250","32,379"
"Blaine County, Idaho","24,342","24,767","24,866"
"Linn County, Oregon","128,978","129,948","130,467"
"Iron County, Michigan","11,628","11,576","11,622"
"Live Oak County, Texas","11,349","11,383","11,428"
"Howard County, Missouri","10,151","10,128","10,168"
"Door County, Wisconsin","30,120","30,406","30,526"
"Avery County, North Carolina","17,848","17,502","17,571"
"Anoka County, Minnesota","364,458","367,416","368,864"
"Ste Genevieve County, Missouri","18,474","18,571","18,644"
"Lawrence County, Indiana","45,012","45,045","45,222"
"Lafayette County, Missouri","33,062","32,832","32,961"
"Whitley County, Indiana","34,338","34,492","34,627"
"Kitsap County, Washington","275,802","276,591","277,673"
"Warren County, New Jersey","109,513","110,494","110,926"
"Blue Earth County, Minnesota","69,211","69,361","69,631"
"Sumner County, Kansas","22,342","22,386","22,473"
"Barton County, Missouri","11,608","11,649","11,694"
"Mackinac County, Michigan","10,816","10,899","10,941"
"Baker County, Oregon","16,725","16,873","16,938"
"Carter County, Oklahoma","48,036","48,324","48,510"
"Petroleum County, Montana",500,522,524
"Garfield County, Washington","2,298","2,354","2,363"
"Rockingham County, New Hampshire","314,603","318,214","319,424"
United States,"331,511,512","332,031,554","333,287,557"
"Washtenaw County, Michigan","371,817","364,998","366,376"
"Dearborn County, Indiana","50,754","50,946","51,138"
"Perry County, Pennsylvania","45,828","45,941","46,114"
"Greene County, Virginia","20,606","21,028","21,107"
"McDowell County, North Carolina","44,580","44,586","44,753"
"Adams County, Pennsylvania","103,779","105,632","106,027"
"Jackson County, Alabama","52,545","52,694","52,891"
"Robeson County, North Carolina","116,305","116,229","116,663"
"Jackson County, Mississippi","143,377","144,438","144,975"
"Wayne County, Ohio","116,906","116,129","116,559"
"Iowa County, Wisconsin","23,709","23,777","23,865"
"Clark County, Kentucky","37,037","36,925","37,061"
"Calvert County, Maryland","92,905","94,226","94,573"
"Augusta County, Virginia","77,567","77,778","78,064"
"Oklahoma County, Oklahoma","798,200","799,622","802,559"
"Dickey County, North Dakota","4,971","4,905","4,923"
"Johnson County, Missouri","54,018","54,170","54,368"
"Burlington County, New Jersey","461,648","464,411","466,103"
"San Patricio County, Texas","68,838","69,701","69,954"
"Lafayette County, Wisconsin","16,613","16,816","16,877"
"Walworth County, South Dakota","5,286","5,246","5,265"
"Kit Carson County, Colorado","7,066","6,936","6,961"
"Talbot County, Maryland","37,481","37,796","37,932"
"Wayne County, North Carolina","117,266","116,866","117,286"
"Adams County, Indiana","35,852","35,939","36,068"
"Montgomery County, Missouri","11,287","11,429","11,470"
"Monongalia County, West Virginia","105,905","106,487","106,869"
"Madison County, Virginia","13,860","13,950","14,000"
"Prince William County, Virginia","482,790","485,205","486,943"
"Addison County, Vermont","37,343","37,444","37,578"
"Orangeburg County, South Carolina","83,956","82,798","83,094"
"Decatur County, Indiana","26,465","26,322","26,416"
"Pulaski County, Kentucky","65,104","65,561","65,795"
"McDuffie County, Georgia","21,603","21,636","21,713"
"Lamar County, Texas","50,126","50,305","50,484"
"Harrison County, Missouri","8,156","8,170","8,199"
"Kinney County, Texas","3,124","3,117","3,128"
"Pike County, Missouri","17,408","17,602","17,664"
"Saratoga County, New York","235,794","237,962","238,797"
"Cleveland County, North Carolina","99,799","100,318","100,670"
"Winston County, Alabama","23,488","23,672","23,755"
"Aroostook County, Maine","67,064","67,022","67,255"
"Howard County, Iowa","9,492","9,500","9,533"
"Orange County, Texas","84,747","84,641","84,934"
"Haskell County, Oklahoma","11,552","11,601","11,641"
"Kent County, Maryland","19,114","19,254","19,320"
"Richmond County, Virginia","8,919","9,049","9,080"
"Washington County, Iowa","22,540","22,494","22,571"
"Brantley County, Georgia","18,043","18,121","18,183"
"Kenton County, Kentucky","169,246","169,734","170,313"
"Pettis County, Missouri","43,001","43,206","43,353"
"Beaver County, Oklahoma","5,029","4,999","5,016"
"Marshall County, Indiana","46,076","46,175","46,332"
"Chariton County, Missouri","7,384","7,361","7,386"
"Piute County, Utah","1,433","1,482","1,487"
"St Bernard Parish, Louisiana","43,853","44,330","44,479"
"Hillsdale County, Michigan","45,733","45,609","45,762"
"Benzie County, Michigan","17,997","18,236","18,297"
"Androscoggin County, Maine","111,180","112,648","113,023"
"Marinette County, Wisconsin","41,885","41,849","41,988"
"Oceana County, Michigan","26,713","26,884","26,973"
"Waukesha County, Wisconsin","407,467","409,080","410,434"
"Clinton County, Missouri","21,210","21,258","21,328"
"Washington County, Wisconsin","136,784","137,237","137,688"
"Grays Harbor County, Washington","75,855","76,787","77,038"
"Itasca County, Minnesota","45,035","45,058","45,205"
"Pepin County, Wisconsin","7,347","7,386","7,410"
"Franklin County, Ohio","1,324,357","1,317,560","1,321,820"
"Missaukee County, Michigan","15,057","15,164","15,213"
"Lexington city, Virginia","7,321","7,433","7,457"
"Calhoun County, South Carolina","14,113","14,134","14,179"
"Prince George County, Virginia","43,045","42,998","43,134"
"Burleigh County, North Dakota","98,594","98,967","99,280"
"Clinton County, Michigan","79,157","79,499","79,748"
"Cherry County, Nebraska","5,454","5,447","5,464"
"Pershing County, Nevada","6,622","6,442","6,462"
"Shenandoah County, Virginia","44,263","44,829","44,968"
"Marion County, Georgia","7,530","7,426","7,449"
"Dorchester County, Maryland","32,528","32,625","32,726"
"Choctaw County, Oklahoma","14,201","14,314","14,358"
"Washington County, Virginia","53,889","53,793","53,958"
"McLean County, North Dakota","9,756","9,794","9,824"
"Dickinson County, Michigan","25,898","25,795","25,874"
"Hot Springs County, Wyoming","4,618","4,574","4,588"
"Lincoln County, Minnesota","5,628","5,563","5,580"
"Wharton County, Texas","41,564","41,697","41,824"
"Sussex County, New Jersey","143,915","145,645","146,084"
"Transylvania County, North Carolina","33,046","33,255","33,355"
"Decatur County, Iowa","7,605","7,660","7,683"
"Lower Connecticut River Valley Planning Region, Connecticut","173,927","176,095","176,622"
"Cass County, Iowa","13,118","13,065","13,104"
"Jackson County, Texas","14,992","15,097","15,142"
"Charlevoix County, Michigan","26,034","26,215","26,293"
"Chesapeake city, Virginia","249,803","251,739","252,488"
"Midland County, Michigan","83,481","83,426","83,674"
"Winneshiek County, Iowa","20,037","19,915","19,974"
"Coos County, New Hampshire","31,227","31,411","31,504"
"Charles Mix County, South Dakota","9,356","9,186","9,213"
"Forrest County, Mississippi","78,185","77,883","78,110"
"Surry County, North Carolina","71,372","71,196","71,403"
"Baylor County, Texas","3,461","3,456","3,466"
"Greenwood County, Kansas","5,965","5,922","5,939"
"Hot Spring County, Arkansas","33,075","33,108","33,203"
"Sherman County, Texas","2,787","2,791","2,799"
"Clay County, Iowa","16,335","16,428","16,475"
"Hodgeman County, Kansas","1,739","1,750","1,755"
"Young County, Texas","17,847","17,911","17,962"
"Wayne County, Nebraska","9,694","9,843","9,871"
"Lunenburg County, Virginia","11,947","11,997","12,031"
"Shackelford County, Texas","3,105","3,177","3,186"
"Pennington County, Minnesota","13,950","13,806","13,845"
"Burke County, North Carolina","87,577","87,634","87,881"
"Pinellas County, Florida","959,465","959,046","961,739"
"Langlade County, Wisconsin","19,462","19,505","19,559"
"Jeff Davis County, Georgia","14,799","14,848","14,889"
"Uinta County, Wyoming","20,457","20,655","20,712"
"Cowlitz County, Washington","111,019","111,648","111,956"
"Pamlico County, North Carolina","12,303","12,347","12,381"
"Centre County, Pennsylvania","157,962","157,990","158,425"
"Falls Church city, Virginia","14,677","14,546","14,586"
"Lawrence County, Alabama","33,089","33,123","33,214"
"Talladega County, Alabama","81,428","80,483","80,704"
"Columbia County, Washington","3,949","4,015","4,026"
"Denver County, Colorado","717,556","711,323","713,252"
"Dent County, Missouri","14,389","14,428","14,467"
"Pulaski County, Arkansas","399,246","398,069","399,145"
"Sweet Grass County, Montana","3,670","3,705","3,715"
"Chippewa County, Wisconsin","66,337","66,628","66,807"
"Laurens County, Georgia","49,544","49,527","49,660"
"Douglas County, Wisconsin","44,343","44,026","44,144"
"Dale County, Alabama","49,253","49,412","49,544"
"Naugatuck Valley Planning Region, Connecticut","449,896","452,894","454,083"
"Kingfisher County, Oklahoma","15,174","15,253","15,293"
"Belknap County, New Hampshire","63,775","64,612","64,781"
"Carroll County, Virginia","29,142","29,071","29,147"
"Hardy County, West Virginia","14,241","14,155","14,192"
"Butler County, Pennsylvania","194,056","196,789","197,300"
"Washington County, Indiana","28,242","28,151","28,224"
"Hinsdale County, Colorado",788,773,775
"Carroll County, Indiana","20,331","20,502","20,555"
"Polk County, Oregon","87,950","89,384","89,614"
"Washington County, Maryland","154,677","155,197","155,590"
"Gregory County, South Dakota","3,997","3,952","3,962"
"Hansford County, Texas","5,260","5,138","5,151"
"San Juan County, Washington","17,827","18,615","18,662"
"Nacogdoches County, Texas","64,619","64,699","64,862"
"Calumet County, Wisconsin","52,462","52,587","52,718"
"Perkins County, Nebraska","2,863","2,822","2,829"
"Buckingham County, Virginia","16,826","16,940","16,982"
"Olmsted County, Minnesota","163,028","163,620","164,020"
"Isabella County, Michigan","64,513","64,291","64,447"
"Ripley County, Indiana","28,968","29,017","29,087"
"Carroll County, Missouri","8,468","8,403","8,423"
"Davison County, South Dakota","19,962","19,926","19,973"
"Orleans County, Vermont","27,404","27,601","27,666"
"DeKalb County, Alabama","71,648","71,829","71,998"
"Box Butte County, Nebraska","10,826","10,647","10,672"
"Vernon County, Missouri","19,669","19,605","19,651"
"Owen County, Indiana","21,314","21,432","21,482"
"Orange County, New York","401,088","404,997","405,941"
"York County, Virginia","70,228","71,176","71,341"
"Watauga County, North Carolina","54,117","54,962","55,089"
"Northwest Hills Planning Region, Connecticut","112,269","112,974","113,234"
"Southeast Fairbanks Census Area, Alaska","6,820","7,005","7,021"
"Thurston County, Washington","295,988","298,078","298,758"
"Burke County, Georgia","24,633","24,333","24,388"
"Kewaunee County, Wisconsin","20,550","20,577","20,623"
"Logan County, Kentucky","27,515","27,815","27,877"
"Costilla County, Colorado","3,501","3,595","3,603"
"Jones County, Georgia","28,397","28,409","28,472"
"Knox County, Maine","40,657","41,074","41,164"
"Pierce County, Nebraska","7,340","7,316","7,332"
"Harford County, Maryland","261,213","263,292","263,867"
"Laurens County, South Carolina","67,624","67,817","67,965"
"Garden County, Nebraska","1,886","1,833","1,837"
"Newton County, Indiana","13,786","13,793","13,823"
"Fresno County, California","1,009,503","1,012,992","1,015,190"
"Logan County, Arkansas","21,103","21,207","21,253"
"Randolph County, Missouri","24,454","24,569","24,622"
"Mineral County, Colorado",871,929,931
"Douglas County, Oregon","111,288","112,057","112,297"
"Lynchburg city, Virginia","78,973","79,118","79,287"
"Greene County, Arkansas","45,864","46,349","46,448"
"Dauphin County, Pennsylvania","286,685","288,187","288,800"
"Callaway County, Missouri","44,337","44,667","44,762"
"Wilson County, North Carolina","78,807","78,283","78,449"
"Grundy County, Illinois","52,517","52,929","53,041"
"Delaware County, Iowa","17,456","17,531","17,568"
"Roseau County, Minnesota","15,293","15,260","15,292"
"Jackson County, Ohio","32,669","32,518","32,586"
"Anne Arundel County, Maryland","589,054","592,052","593,286"
"Barron County, Wisconsin","46,714","46,746","46,843"
"Alexandria city, Virginia","159,125","155,203","155,525"
"Florence County, South Carolina","136,811","136,439","136,721"
"Scott County, Mississippi","27,968","27,650","27,707"
"Alger County, Michigan","8,842","8,789","8,807"
"Haskell County, Texas","5,432","5,392","5,403"
"Menard County, Texas","1,961","1,964","1,968"
"Franklin County, Pennsylvania","155,939","156,589","156,902"
"Ray County, Missouri","23,129","23,061","23,107"
"Sedgwick County, Kansas","524,786","524,481","525,525"
"Nicollet County, Minnesota","34,504","34,373","34,441"
"Kings County, California","152,790","152,679","152,981"
"Berks County, Pennsylvania","428,631","429,612","430,449"
"Telfair County, Georgia","12,465","12,330","12,354"
"Shelby County, Texas","23,927","23,962","24,008"
"Chelan County, Washington","79,228","79,775","79,926"
"Ware County, Georgia","36,225","35,547","35,614"
"Cass County, Nebraska","26,601","27,071","27,122"
"Skagit County, Washington","129,884","130,933","131,179"
"Sibley County, Minnesota","14,810","14,927","14,955"
"Yancey County, North Carolina","18,490","18,776","18,811"
"Kalamazoo County, Michigan","261,767","260,688","261,173"
"St Mary's County, Maryland","113,987","114,664","114,877"
"Victoria County, Texas","91,303","90,897","91,065"
"Atlantic County, New Jersey","274,172","275,130","275,638"
"Grayson County, Kentucky","26,454","26,582","26,631"
"Emanuel County, Georgia","22,887","22,887","22,929"
"Cotton County, Oklahoma","5,535","5,467","5,477"
"Arlington County, Virginia","238,799","233,574","234,000"
"Shawano County, Wisconsin","40,873","40,812","40,886"
"Asotin County, Washington","22,325","22,468","22,508"
"Dare County, North Carolina","37,032","37,889","37,956"
"Washington County, Pennsylvania","209,382","210,012","210,383"
"Alamosa County, Colorado","16,377","16,563","16,592"
"Deaf Smith County, Texas","18,526","18,345","18,377"
"Jones County, North Carolina","9,147","9,217","9,233"
"Martin County, Texas","5,252","5,208","5,217"
"Vermilion Parish, Louisiana","56,918","56,854","56,952"
"Greenwood County, South Carolina","69,388","69,148","69,267"
"Tama County, Iowa","17,077","16,874","16,903"
"Wilcox County, Georgia","8,792","8,746","8,761"
"Cherokee County, South Carolina","56,207","56,025","56,121"
"Walworth County, Wisconsin","105,308","105,200","105,380"
"Steuben County, Indiana","34,453","34,666","34,725"
"Pontotoc County, Mississippi","31,194","31,336","31,389"
"Pulaski County, Missouri","54,017","53,850","53,941"
"Jasper County, Iowa","37,810","37,874","37,938"
"Roanoke County, Virginia","96,922","96,751","96,914"
"Haywood County, North Carolina","62,223","62,504","62,609"
"Santa Fe County, New Mexico","155,041","155,404","155,664"
"Moffat County, Colorado","13,264","13,155","13,177"
"Loup County, Nebraska",603,598,599
"Yankton County, South Dakota","23,282","23,334","23,373"
"Johnson County, Tennessee","17,990","18,056","18,086"
"Fulton County, Pennsylvania","14,572","14,509","14,533"
"Allegan County, Michigan","120,647","121,010","121,210"
"Sioux County, Iowa","35,887","35,991","36,050"
"Kent County, Rhode Island","170,386","170,997","171,275"
"Butler County, Ohio","390,872","387,791","388,420"
"Noble County, Ohio","14,086","14,312","14,335"
"Covington County, Alabama","37,507","37,542","37,602"
"Montgomery County, North Carolina","25,719","25,853","25,894"
"Somerset County, New Jersey","344,725","346,331","346,875"
"Porter County, Indiana","173,295","174,517","174,791"
"Clark County, Arkansas","21,387","21,217","21,250"
"Taylor County, Wisconsin","19,937","19,944","19,975"
"Itawamba County, Mississippi","23,862","23,866","23,903"
"Hitchcock County, Nebraska","2,622","2,594","2,598"
"Marathon County, Wisconsin","138,047","137,746","137,958"
"Ellis County, Kansas","28,943","28,897","28,941"
"McCurtain County, Oklahoma","30,838","30,884","30,931"
"Muskogee County, Oklahoma","66,241","66,255","66,354"
"Camden County, New Jersey","523,074","524,124","524,907"
"Northampton County, Pennsylvania","312,774","318,051","318,526"
"Gilliam County, Oregon","2,017","2,015","2,018"
"Lehigh County, Pennsylvania","374,477","375,760","376,317"
"Luzerne County, Pennsylvania","325,197","325,889","326,369"
"Douglas County, Nebraska","585,386","585,467","586,327"
"Osborne County, Kansas","3,497","3,485","3,490"
"Lebanon County, Pennsylvania","143,282","143,809","144,011"
"Morris County, New Jersey","508,384","510,444","511,151"
"Oswego County, New York","117,440","118,124","118,287"
"Yakima County, Washington","256,702","256,647","257,001"
"Hampton city, Virginia","137,276","137,847","138,037"
"Ontonagon County, Michigan","5,805","5,855","5,863"
"Rosebud County, Montana","8,305","8,077","8,088"
"Bibb County, Georgia","157,025","155,985","156,197"
"Polk County, Nebraska","5,212","5,159","5,166"
"Floyd County, Indiana","80,509","80,606","80,714"
"Mercer County, Kentucky","22,652","22,872","22,902"
"Fleming County, Kentucky","15,098","15,268","15,288"
"Roscommon County, Michigan","23,466","23,677","23,708"
"Sanilac County, Michigan","40,502","40,604","40,657"
"Butler County, Kentucky","12,318","12,279","12,295"
"Humboldt County, California","136,261","134,836","135,010"
"Dakota County, Minnesota","440,393","442,773","443,341"
"Miami-Dade County, Florida","2,695,501","2,670,421","2,673,837"
"Becker County, Minnesota","35,194","35,326","35,371"
"Fremont County, Wyoming","39,197","39,422","39,472"
"Tulare County, California","473,891","476,946","477,544"
"Pueblo County, Colorado","168,325","169,332","169,544"
"Miller County, Arkansas","42,579","42,499","42,552"
"Graham County, Kansas","2,408","2,408","2,411"
"Alexander County, North Carolina","36,482","36,467","36,512"
"Sheboygan County, Wisconsin","118,030","117,697","117,841"
"Garfield County, Colorado","61,792","62,195","62,271"
"Jackson County, Kansas","13,241","13,270","13,286"
"Webster County, Mississippi","9,901","9,981","9,993"
"Boulder County, Colorado","330,922","327,075","327,468"
"Concho County, Texas","3,303","3,336","3,340"
"McCreary County, Kentucky","16,857","16,681","16,701"
"Gibson County, Indiana","33,055","32,954","32,993"
"Franklin County, Virginia","54,486","55,010","55,074"
"Norfolk County, Massachusetts","724,322","724,692","725,531"
"Crawford County, Kansas","38,951","39,033","39,078"
"Faribault County, Minnesota","13,901","13,910","13,926"
"Hancock County, Ohio","74,930","74,775","74,861"
"Monroe County, Illinois","34,952","34,993","35,033"
"Huntington County, Indiana","36,646","36,792","36,834"
"Pope County, Minnesota","11,326","11,418","11,431"
"Daviess County, Indiana","33,366","33,381","33,418"
"Maries County, Missouri","8,452","8,422","8,431"
"Lapeer County, Michigan","88,572","88,686","88,780"
"Jennings County, Indiana","27,581","27,507","27,536"
"Lancaster County, Pennsylvania","552,761","556,049","556,629"
"Hancock County, Mississippi","46,117","46,046","46,094"
"Southeastern Connecticut Planning Region, Connecticut","279,522","280,117","280,403"
"Scott County, Arkansas","9,828","9,795","9,805"
"St Louis County, Minnesota","200,064","199,332","199,532"
"Hughes County, Oklahoma","13,348","13,394","13,407"
"Winnebago County, Wisconsin","171,800","170,554","170,718"
"Calhoun County, Alabama","116,239","115,677","115,788"
"Mason County, Michigan","29,038","29,381","29,409"
"Medina County, Ohio","182,636","183,338","183,512"
"Cheyenne County, Nebraska","9,486","9,502","9,511"
"Johnson County, Arkansas","25,722","25,977","26,001"
"Appling County, Georgia","18,366","18,411","18,428"
"Worcester County, Massachusetts","859,708","862,132","862,927"
"Greene County, Iowa","8,752","8,733","8,741"
"Washakie County, Wyoming","7,658","7,712","7,719"
"Salem County, New Jersey","64,842","65,058","65,117"
"Jasper County, Illinois","9,240","9,204","9,212"
"Ross County, Ohio","77,064","76,540","76,606"
"Marion County, Kentucky","19,588","19,758","19,775"
"Hardin County, Kentucky","110,816","111,766","111,862"
"Harrison County, Indiana","39,662","39,817","39,851"
"Grayson County, Virginia","15,278","15,330","15,343"
"Hunterdon County, New Jersey","128,786","129,668","129,777"
"Jefferson County, Washington","33,063","33,561","33,589"
"Vance County, North Carolina","42,535","42,103","42,138"
"Buchanan County, Iowa","20,606","20,697","20,714"
"Dodge County, Minnesota","20,895","20,964","20,981"
"Montgomery County, Virginia","99,561","98,835","98,915"
"Petersburg city, Virginia","33,388","33,367","33,394"
"Daviess County, Kentucky","103,391","103,140","103,222"
"Hamilton County, New York","5,073","5,114","5,118"
"El Paso County, Texas","866,547","868,086","868,763"
"Montgomery County, Pennsylvania","856,938","864,022","864,683"
"Umatilla County, Oregon","80,098","80,154","80,215"
"Douglas County, Illinois","19,758","19,740","19,755"
"Somerset County, Maryland","24,564","24,528","24,546"
"Perry County, Ohio","35,448","35,454","35,480"
"LaMoure County, North Dakota","4,101","4,095","4,098"
"Lake County, Indiana","498,932","499,327","499,689"
"Apache County, Arizona","65,911","65,385","65,432"
"Vermillion County, Indiana","15,409","15,440","15,451"
"Bracken County, Kentucky","8,402","8,446","8,452"
"Capitol Planning Region, Connecticut","973,159","980,757","981,447"
"Atoka County, Oklahoma","14,154","14,252","14,262"
"Lander County, Nevada","5,726","5,762","5,766"
"Butler County, Missouri","42,059","42,150","42,179"
"Rush County, Kansas","2,938","2,925","2,927"
"Sampson County, North Carolina","59,078","59,080","59,120"
"Metcalfe County, Kentucky","10,286","10,363","10,370"
"Mills County, Texas","4,447","4,497","4,500"
"Ector County, Texas","165,485","160,764","160,869"
"Las Animas County, Colorado","14,482","14,318","14,327"
"Clinton County, Illinois","36,913","36,886","36,909"
"Grant County, Arkansas","18,022","18,149","18,160"
"Richland County, North Dakota","16,527","16,570","16,580"
"Caroline County, Maryland","33,273","33,413","33,433"
"Benton County, Indiana","8,716","8,714","8,719"
"Clay County, Alabama","14,211","14,190","14,198"
"Sauk County, Wisconsin","65,793","65,740","65,777"
"Webb County, Texas","267,345","267,633","267,780"
"McHenry County, Illinois","309,886","311,592","311,747"
"McDonough County, Illinois","27,097","26,848","26,861"
"Henderson County, Tennessee","27,827","27,916","27,929"
"Surry County, Virginia","6,551","6,524","6,527"
"Delaware County, Indiana","111,763","111,981","112,031"
"Jones County, Iowa","20,653","20,839","20,848"
"Deer Lodge County, Montana","9,420","9,506","9,510"
"Ontario County, New York","112,327","112,660","112,707"
"Washington County, Vermont","59,756","60,023","60,048"
"Platte County, Nebraska","34,283","34,282","34,296"
"Martin County, Indiana","9,803","9,799","9,803"
"Goshen County, Wyoming","12,514","12,557","12,562"
"Unicoi County, Tennessee","17,883","17,667","17,674"
"St Joseph County, Michigan","60,931","60,850","60,874"
"San Diego County, California","3,296,045","3,274,954","3,276,208"
"Howard County, Maryland","332,786","335,287","335,411"
"Holmes County, Ohio","44,226","44,374","44,390"
"Mercer County, North Dakota","8,348","8,330","8,333"
"Val Verde County, Texas","47,605","47,589","47,606"
"San Bernardino County, California","2,183,239","2,192,882","2,193,656"
"Shiawassee County, Michigan","68,006","67,998","68,022"
"Clay County, Indiana","26,419","26,370","26,379"
"Clay County, Nebraska","6,105","6,047","6,049"
"Jackson County, Indiana","46,461","46,285","46,300"
"Pipestone County, Minnesota","9,414","9,352","9,355"
"Polk County, Arkansas","19,187","19,331","19,337"
"Bristol County, Massachusetts","576,737","579,895","580,068"
"Henrico County, Virginia","334,344","333,867","333,962"
"Plymouth County, Massachusetts","530,154","532,919","533,069"
"Kauai County, Hawaii","73,186","73,791","73,810"
"Montgomery County, New York","49,485","49,611","49,623"
"Butler County, Nebraska","8,345","8,425","8,427"
"Warren County, Indiana","8,424","8,459","8,461"
"Madison County, Nebraska","35,521","35,360","35,368"
"Escambia County, Alabama","36,680","36,658","36,666"
"Pierce County, Washington","923,524","927,199","927,380"
"Ionia County, Michigan","66,855","66,797","66,809"
"Chittenden County, Vermont","168,386","169,271","169,301"
"Greater Bridgeport Planning Region, Connecticut","324,932","327,229","327,286"
"Talbot County, Georgia","5,726","5,746","5,747"
"Bleckley County, Georgia","12,524","12,255","12,257"
"Dubois County, Indiana","43,643","43,625","43,632"
"Antelope County, Nebraska","6,278","6,292","6,293"
"Conejos County, Colorado","7,458","7,578","7,579"
"Marquette County, Wisconsin","15,594","15,777","15,779"
"Kent County, Michigan","658,460","659,000","659,083"
"Montgomery County, Georgia","8,574","8,654","8,655"
"Colquitt County, Georgia","45,900","45,757","45,762"
"Rice County, Kansas","9,385","9,406","9,407"
"Reno County, Kansas","61,887","61,510","61,516"
"Mahaska County, Iowa","22,147","21,944","21,946"
"Crawford County, Georgia","12,103","12,139","12,140"
"Hall County, Nebraska","62,760","62,092","62,097"
